Date,AAPL,BTC-USD,JNJ,XOM
2020-01-02,72.40,6985.47,122.64,53.31
2020-01-03,71.70,7344.88,121.22,52.88
2020-01-04,71.70,7410.66,121.22,52.88
2020-01-05,71.70,7411.32,121.22,52.88
2020-01-06,72.27,7769.22,121.07,53.28
2020-01-07,71.93,8163.69,121.81,52.85
2020-01-08,73.09,8079.86,121.79,52.05
2020-01-09,74.64,7879.07,122.15,52.45
2020-01-10,74.81,8166.55,121.87,51.98
2020-01-11,74.81,8037.54,121.87,51.98
2020-01-12,74.81,8192.49,121.87,51.98
2020-01-13,76.40,8144.19,122.41,52.48
2020-01-14,75.37,8827.76,123.10,52.03
2020-01-15,75.05,8807.01,123.51,51.95
2020-01-16,75.99,8723.79,124.51,51.74
2020-01-17,76.83,8929.04,125.33,51.55
2020-01-18,76.83,8942.81,125.33,51.55
2020-01-19,76.83,8706.25,125.33,51.55
2020-01-20,76.83,8657.64,125.33,51.55
2020-01-21,76.31,8745.89,125.41,50.81
2020-01-22,76.58,8680.88,124.55,50.52
2020-01-23,76.95,8406.52,124.79,50.20
2020-01-24,76.73,8445.43,124.61,49.86
2020-01-25,76.73,8367.85,124.61,49.86
2020-01-26,76.73,8596.83,124.61,49.86
2020-01-27,74.47,8909.82,124.97,48.67
2020-01-28,76.58,9358.59,125.60,48.61
2020-01-29,78.18,9316.63,126.48,48.20
2020-01-30,78.07,9508.99,126.33,48.71
2020-01-31,74.61,9350.53,125.07,46.71
2020-02-01,74.61,9392.88,125.07,46.71
2020-02-02,74.61,9344.37,125.07,46.71
2020-02-03,74.40,9293.52,126.17,45.66
2020-02-04,76.86,9180.96,127.37,45.09
2020-02-05,77.49,9613.42,129.38,47.16
2020-02-06,78.39,9729.80,128.99,46.52
2020-02-07,77.33,9795.94,127.61,46.22
2020-02-08,77.33,9865.12,127.61,46.22
2020-02-09,77.33,10116.67,127.61,46.22
2020-02-10,77.69,9856.61,127.59,45.73
2020-02-11,77.23,10208.24,127.70,46.16
2020-02-12,79.06,10326.05,126.94,46.73
2020-02-13,78.50,10214.38,126.10,46.47
2020-02-14,78.52,10312.12,126.13,46.25
2020-02-15,78.52,9889.42,126.13,46.25
2020-02-16,78.52,9934.43,126.13,46.25
2020-02-17,78.52,9690.14,126.13,46.25
2020-02-18,77.08,10142.00,125.30,45.67
2020-02-19,78.19,9633.39,125.13,46.02
2020-02-20,77.39,9608.48,124.65,45.65
2020-02-21,75.64,9686.44,125.97,45.10
2020-02-22,75.64,9663.18,125.97,45.10
2020-02-23,75.64,9924.52,125.97,45.10
2020-02-24,72.05,9650.17,123.37,42.98
2020-02-25,69.61,9341.71,122.30,41.34
2020-02-26,70.71,8820.52,121.48,40.43
2020-02-27,66.09,8784.49,117.63,38.00
2020-02-28,66.05,8672.46,113.71,39.23
2020-02-29,66.05,8599.51,113.71,39.23
2020-03-01,66.05,8562.45,113.71,39.23
2020-03-02,72.20,8869.67,118.39,41.09
2020-03-03,69.91,8787.79,114.64,39.12
2020-03-04,73.15,8755.25,121.31,39.98
2020-03-05,70.78,9078.76,120.07,38.22
2020-03-06,69.84,9122.55,120.09,36.37
2020-03-07,69.84,8909.95,120.09,36.37
2020-03-08,69.84,8108.12,120.09,36.37
2020-03-09,64.31,7923.64,115.36,31.92
2020-03-10,68.95,7909.73,119.76,33.11
2020-03-11,66.55,7911.43,111.44,32.02
2020-03-12,59.98,4970.79,106.04,28.36
2020-03-13,67.16,5563.71,113.54,29.07
2020-03-14,67.16,5200.37,113.54,29.07
2020-03-15,67.16,5392.31,113.54,29.07
2020-03-16,58.52,5014.48,107.49,26.30
2020-03-17,61.10,5225.63,115.49,28.07
2020-03-18,59.60,5238.44,114.11,25.26
